NIT_RECEPTOR,NRC_RECEPTOR,ANIO,MES,TIPO_DOC,NUM_DOC,FECHA_EMISION,NIT_PROVEEDOR,NRC_PROVEEDOR,NOMBRE_PROVEEDOR,COMPRAS_EXENTAS,COMPRAS_NO_SUJETAS,COMPRAS_GRAVADAS_LOCALES,COMPRAS_GRAVADAS_IMPORTACION,CREDITO_FISCAL,TOTAL_COMPRA,CLASIFICACION_GASTO,NUM_ANULACION,TIPO_ANULACION,USO_COMPRA
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002124,23/07/2024,0614-290909-209-9,9-209-9,"TRANSPORTE RAPIDO, S.A. DE C.V.",0,0,5986.83,0,778.29,6765.12,COSTO_VENTA,,,ADMINISTRACION
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002125,03/07/2024,0614-220202-202-2,2-202-2,"INDUSTRIAS MANUFACTURERAS, S.A. DE C.V.",0,0,19173.48,823.83,2599.65,22596.96,GASTO_ADMINISTRACION,,,CONSUMO_PROPIO
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002126,28/07/2024,0614-240404-204-4,4-204-4,"DISTRIBUIDORA OMEGA, S.A. DE C.V.",0,0,6004.75,0,780.62,6785.37,GASTO_ADMINISTRACION,,,CONSUMO_PROPIO
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002127,14/07/2024,0614-280808-208-8,8-208-8,"EQUIPOS MEDICOS, S.A. DE C.V.",0,94.53,636.33,0,82.72,813.58,INVENTARIO,,,REEXPORTACION
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002128,19/07/2024,0614-260606-206-6,6-206-6,"MATERIALES Y SUMINISTROS, S.A. DE C.V.",0,0,9825.74,0,1277.35,11103.09,INVENTARIO,,,CONSUMO_PROPIO
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002129,10/07/2024,0614-301010-210-0,0-210-0,"INSUMOS INDUSTRIALES, S.A. DE C.V.",0,0,3600.4,0,468.05,4068.45,GASTO_VENTA,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002130,12/07/2024,0614-250505-205-5,5-205-5,"SERVICIOS TECNICOS, S.A. DE C.V.",0,0,18497.81,0,2404.72,20902.53,GASTO_ADMINISTRACION,,,ADMINISTRACION
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002131,08/07/2024,0614-220202-202-2,2-202-2,"INDUSTRIAS MANUFACTURERAS, S.A. DE C.V.",316.63,0,5356.06,2812.44,1061.9,9547.03,GASTO_VENTA,,,REEXPORTACION
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002132,12/07/2024,0614-280808-208-8,8-208-8,"EQUIPOS MEDICOS, S.A. DE C.V.",0,0,6170.88,0,802.21,6973.09,ACTIVO_FIJO,,,ADMINISTRACION
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002133,30/07/2024,0614-260606-206-6,6-206-6,"MATERIALES Y SUMINISTROS, S.A. DE C.V.",0,0,11013.68,0,1431.78,12445.46,GASTO_VENTA,,,CONSUMO_PROPIO
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002134,31/07/2024,0614-331313-213-3,3-213-3,"MAQUINARIA PESADA, S.A. DE C.V.",0,0,3112.25,0,404.59,3516.84,ACTIVO_FIJO,,,REEXPORTACION
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002135,04/07/2024,0614-321212-212-2,2-212-2,"LUBRICANTES Y COMBUSTIBLES, S.A. DE C.V.",0,339.0,2514.15,3087.61,728.23,6668.99,GASTO_VENTA,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002136,02/07/2024,0614-301010-210-0,0-210-0,"INSUMOS INDUSTRIALES, S.A. DE C.V.",0,0,4598.45,0,597.8,5196.25,COSTO_VENTA,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002137,28/07/2024,0614-280808-208-8,8-208-8,"EQUIPOS MEDICOS, S.A. DE C.V.",0,0,19521.62,0,2537.81,22059.43,INVENTARIO,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002138,12/07/2024,0614-270707-207-7,7-207-7,"EDITORIAL CENTROAMERICA, S.A. DE C.V.",0,0,7518.67,0,977.43,8496.1,GASTO_VENTA,,,REEXPORTACION
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002139,28/07/2024,0614-290909-209-9,9-209-9,"TRANSPORTE RAPIDO, S.A. DE C.V.",727.85,0,19853.42,0,2580.94,23162.21,ACTIVO_FIJO,,,CONSUMO_PROPIO
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002140,27/07/2024,0614-301010-210-0,0-210-0,"INSUMOS INDUSTRIALES, S.A. DE C.V.",0,0,6203.98,0,806.52,7010.5,GASTO_VENTA,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002141,25/07/2024,0614-270707-207-7,7-207-7,"EDITORIAL CENTROAMERICA, S.A. DE C.V.",409.46,0,8407.38,0,1092.96,9909.8,GASTO_ADMINISTRACION,,,ADMINISTRACION
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002142,27/07/2024,0614-270707-207-7,7-207-7,"EDITORIAL CENTROAMERICA, S.A. DE C.V.",0,0,16491.42,0,2143.88,18635.3,ACTIVO_FIJO,,,CONSUMO_PROPIO
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002143,01/07/2024,0614-331313-213-3,3-213-3,"MAQUINARIA PESADA, S.A. DE C.V.",262.68,0,16718.01,0,2173.34,19154.03,GASTO_VENTA,,,CONSUMO_PROPIO
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002144,16/07/2024,0614-351515-215-5,5-215-5,"BIENES RAICES SV, S.A. DE C.V.",0,0,2563.22,0,333.22,2896.44,COSTO_VENTA,,,REEXPORTACION
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002145,16/07/2024,0614-301010-210-0,0-210-0,"INSUMOS INDUSTRIALES, S.A. DE C.V.",0,0,13781.07,0,1791.54,15572.61,GASTO_VENTA,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002146,06/07/2024,0614-301010-210-0,0-210-0,"INSUMOS INDUSTRIALES, S.A. DE C.V.",319.68,0,2882.85,1363.35,552.01,5117.89,GASTO_VENTA,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002147,10/07/2024,0614-290909-209-9,9-209-9,"TRANSPORTE RAPIDO, S.A. DE C.V.",0,0,4037.53,0,524.88,4562.41,INVENTARIO,,,ADMINISTRACION
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002148,11/07/2024,0614-341414-214-4,4-214-4,"SEGUROS NACIONALES, S.A. DE C.V.",0,0,16037.57,0,2084.88,18122.45,GASTO_VENTA,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002149,19/07/2024,0614-260606-206-6,6-206-6,"MATERIALES Y SUMINISTROS, S.A. DE C.V.",0,259.09,7585.68,0,986.14,8830.91,GASTO_ADMINISTRACION,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002150,05/07/2024,0614-290909-209-9,9-209-9,"TRANSPORTE RAPIDO, S.A. DE C.V.",0,0,17961.72,0,2335.02,20296.74,INVENTARIO,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002151,15/07/2024,0614-351515-215-5,5-215-5,"BIENES RAICES SV, S.A. DE C.V.",818.84,0,9694.46,0,1260.28,11773.58,ACTIVO_FIJO,,,REEXPORTACION
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002152,23/07/2024,0614-250505-205-5,5-205-5,"SERVICIOS TECNICOS, S.A. DE C.V.",814.57,0,17164.94,1132.87,2378.72,21491.1,GASTO_ADMINISTRACION,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002153,23/07/2024,0614-331313-213-3,3-213-3,"MAQUINARIA PESADA, S.A. DE C.V.",0,0,15538.91,0,2020.06,17558.97,COSTO_VENTA,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002154,17/07/2024,0614-301010-210-0,0-210-0,"INSUMOS INDUSTRIALES, S.A. DE C.V.",118.92,0,1511.7,0,196.52,1827.14,COSTO_VENTA,,,ADMINISTRACION
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002155,29/07/2024,0614-240404-204-4,4-204-4,"DISTRIBUIDORA OMEGA, S.A. DE C.V.",0,0,1997.43,0,259.67,2257.1,INVENTARIO,,,REEXPORTACION
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002156,06/07/2024,0614-341414-214-4,4-214-4,"SEGUROS NACIONALES, S.A. DE C.V.",0,0,4988.09,0,648.45,5636.54,INVENTARIO,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002157,07/07/2024,0614-321212-212-2,2-212-2,"LUBRICANTES Y COMBUSTIBLES, S.A. DE C.V.",0,0,18052.87,0,2346.87,20399.74,COSTO_VENTA,,,ADMINISTRACION
